criteria.offerCode;criteria.productId;depositId;review.irregularities;review.downgradedReason
3055;K5;0237102220230404002433;3055_K5_ANO_TX_CONTENANTS_ANOMALIE;AP
3055;G4;0237102220230403002417;3055_G4_ANO_TX_CONTENANTS_ANOMALIE;AP
3055;G2;0466859720230403000544;3055_G2_ANO_TX_CONTENANTS_ANOMALIE;AP
3055;G4;0466859720230403000547;3055_G4_ANO_TX_CONTENANTS_ANOMALIE;AP
3214;J6;0002960220230403000076;3214_J6_ANO_TX_CONTENANTS_ANOMALIE;AP
3055;G4;0004909320230404001282;3055_G4_ANO_TX_CONTENANTS_ANOMALIE;AP
3055;K5;0237102220230404002436;3055_K5_ANO_TX_CONTENANTS_ANOMALIE;AP
3055;K5;0237102220230405002441;3055_K5_ANO_TX_CONTENANTS_ANOMALIE;AP
3055;G2;0237102220230404002428;3055_G2_ANO_TX_CONTENANTS_ANOMALIE;AP
3055;G3;0003912420230404000401;3055_G3_ANO_TX_CONTENANTS_ANOMALIE;AP
3055;G2;0466859720230405000559;3055_G2_ANO_TX_CONTENANTS_ANOMALIE;AP
3055;G3;0466859720230405000562;3055_G3_ANO_TX_CONTENANTS_ANOMALIE;AP
3055;G4;0466859720230405000563;3055_G4_ANO_TX_CONTENANTS_ANOMALIE;AP
3055;G4;0004718420230405000334;3055_G4_ANO_TX_CONTENANTS_ANOMALIE;AP
3055;G2;0237102220230405002437;3055_G2_ANO_TX_CONTENANTS_ANOMALIE;AP
3055;K5;0237102220230406002449;3055_K5_ANO_TX_CONTENANTS_ANOMALIE;AP
3055;G4;0237102220230405002442;3055_G4_ANO_TX_CONTENANTS_ANOMALIE;AP
3055;K5;0237102220230406002450;3055_K5_ANO_TX_CONTENANTS_ANOMALIE;AP
3055;K5;0237102220230407002455;3055_K5_ANO_TX_CONTENANTS_ANOMALIE;AP
3055;K5;0237102220230407002457;3055_K5_ANO_TX_CONTENANTS_ANOMALIE;AP
3055;G4;0237102220230406002448;3055_G4_ANO_PLI_INTRUS_CE30, 3055_G4_ANO_TX_CONTENANTS_ANOMALIE;AP
3055;G3;0237102220230407002458;3055_G3_ANO_TX_CONTENANTS_ANOMALIE;AP
3055;G3;0019209120230407000005;3055_G3_ANO_TX_CONTENANTS_ANOMALIE;AP
3055;G3;0004909320230407001299;3055_G3_ANO_TX_CONTENANTS_ANOMALIE;AP
3055;G4;0004909320230407001300;3055_G4_ANO_TX_CONTENANTS_ANOMALIE;AP
3055;G2;0237102220230407002453;3055_G2_ANO_TX_CONTENANTS_ANOMALIE;AP
3055;K5;0237102220230411002464;3055_K5_ANO_TX_CONTENANTS_ANOMALIE;AP
3055;G4;0100868620230411001044;3055_G4_ANO_TX_CONTENANTS_ANOMALIE;AP
3055;G3;0023633020230407001864;3055_G3_ANO_TX_CONTENANTS_ANOMALIE;AP
3055;G3;0061404320230407000928;3055_G3_ANO_TX_CONTENANTS_ANOMALIE;AP
3055;G3;0466859720230407000572;3055_G3_ANO_TX_CONTENANTS_ANOMALIE;AP
3055;G4;0109412620230411000309;-;-
3055;G3;0466859720230411000581;3055_G3_ANO_TX_CONTENANTS_ANOMALIE;AP
3055;G4;0466859720230411000583;3055_G4_ANO_TX_CONTENANTS_ANOMALIE;AP
3055;G4;0061404320230411000935;3055_G4_ANO_TX_CONTENANTS_ANOMALIE;AP
3055;G3;0061404320230411000934;3055_G3_ANO_TX_CONTENANTS_ANOMALIE;AP
3055;G4;0237102220230411002466;3055_G4_ANO_PLI_INTRUS_CE30, 3055_G4_ANO_TX_CONTENANTS_ANOMALIE;AP
3055;G3;0237102220230411002461;3055_G3_ANO_TX_CONTENANTS_ANOMALIE;AP
3055;G4;0237102220230411002462;3055_G4_ANO_PLI_INTRUS_CE30, 3055_G4_ANO_TX_CONTENANTS_ANOMALIE;AP
3055;K5;0237102220230412002473;3055_K5_ANO_TX_CONTENANTS_ANOMALIE;AP
3055;G4;0466859720230412000589;3055_G4_ANO_TX_CONTENANTS_ANOMALIE;AP
3055;G3;0237102220230412002474;3055_G3_ANO_PLI_INTRUS_CE30, 3055_G3_ANO_TX_CONTENANTS_ANOMALIE;AP
3055;G4;0237102220230412002475;3055_G4_ANO_TX_CONTENANTS_ANOMALIE;AP
3055;K5;0237102220230413002487;3055_K5_ANO_TX_CONTENANTS_ANOMALIE;AP
3055;G2;0237102220230411002471;3055_G2_ANO_PLI_INTRUS_CE30, 3055_G2_ANO_TX_CONTENANTS_ANOMALIE;AP
3055;G2;0237102220230411002460;3055_G2_ANO_PLI_INTRUS_CE30, 3055_G2_ANO_TX_CONTENANTS_ANOMALIE;AP
3055;G4;0237102220230413002482;3055_G4_ANO_PLI_INTRUS_CE30, 3055_G4_ANO_TX_CONTENANTS_ANOMALIE;AP
3055;G2;0237102220230411002491;3055_G2_ANO_DELAI_ANNONCE, 3055_G2_ANO_PLI_INTRUS_CE30, 3055_G2_ANO_TX_CONTENANTS_ANOMALIE;AP
3055;G4;0237102220230405002490;3055_G4_ANO_DELAI_ANNONCE, 3055_G4_ANO_TX_CONTENANTS_ANOMALIE;AP
3055;K5;0237102220230414002494;3055_K5_ANO_TX_CONTENANTS_ANOMALIE;AP
3055;G3;0061404320230413000938;3055_G3_ANO_TX_CONTENANTS_ANOMALIE;AP
3055;G4;0061404320230413000939;3055_G4_ANO_TX_CONTENANTS_ANOMALIE;AP
3055;G4;0237102220230414002495;3055_G4_ANO_PLI_INTRUS_CE30, 3055_G4_ANO_TX_CONTENANTS_ANOMALIE;AP
3055;K5;0237102220230417002501;3055_K5_ANO_TX_CONTENANTS_ANOMALIE;AP
3055;K5;0237102220230417002502;3055_K5_ANO_TX_CONTENANTS_ANOMALIE;AP
3055;G3;0061404320230414000942;3055_G3_ANO_DELAI_ANNONCE, 3055_G3_ANO_TX_CONTENANTS_ANOMALIE;AP
3055;G4;0061404320230414000944;3055_G4_ANO_DELAI_ANNONCE, 3055_G4_ANO_TX_CONTENANTS_ANOMALIE;AP
3055;G3;0194570120230417000895;3055_G3_ANO_TX_CONTENANTS_ANOMALIE;AP
3055;G4;0004909320230414001321;3055_G4_ANO_TX_CONTENANTS_ANOMALIE;AP
3055;G3;0466859720230417000603;3055_G3_ANO_TX_CONTENANTS_ANOMALIE;AP
3055;G2;0466859720230417000604;3055_G2_ANO_TX_CONTENANTS_ANOMALIE;AP
3055;K5;0237102220230418002509;3055_K5_ANO_TX_CONTENANTS_ANOMALIE;AP
3055;G2;0210005520230414000170;3055_G2_ANO_PLI_INTRUS_CE30, 3055_G2_ANO_TX_CONTENANTS_ANOMALIE;AP
3055;G3;0237102220230417002498;3055_G3_ANO_PLI_INTRUS_CE30, 3055_G3_ANO_TX_CONTENANTS_ANOMALIE;AP
3055;G3;0237102220230417002504;3055_G3_ANO_TX_CONTENANTS_ANOMALIE;AP
3055;G4;0237102220230417002503;3055_G4_ANO_TX_CONTENANTS_ANOMALIE;AP
3055;G3;0237102220230418002507;3055_G3_ANO_TX_CONTENANTS_ANOMALIE;AP
3055;G2;0466859720230418000614;3055_G2_ANO_TX_CONTENANTS_ANOMALIE;AP
3055;G4;0009764720230419000036;3055_G4_ANO_TX_CONTENANTS_ANOMALIE;AP
3055;G3;0466859720230419000617;3055_G3_ANO_TX_CONTENANTS_ANOMALIE;AP
3055;G2;0466859720230419000618;3055_G2_ANO_TX_CONTENANTS_ANOMALIE;AP
3055;K5;0237102220230420002518;3055_K5_ANO_TX_CONTENANTS_ANOMALIE;AP
3055;K5;0237102220230420002522;3055_K5_ANO_TX_CONTENANTS_ANOMALIE;AP
3055;K5;0237102220230421002529;3055_K5_ANO_TX_CONTENANTS_ANOMALIE;AP
3055;G4;0466859720230420000627;3055_G4_ANO_TX_CONTENANTS_ANOMALIE;AP
3055;G3;0237102220230420002519;3055_G3_ANO_TX_CONTENANTS_ANOMALIE;AP
3055;G3;0237102220230420002524;3055_G3_ANO_TX_CONTENANTS_ANOMALIE;AP
3055;G3;0012967320230421000659;3055_G3_ANO_TX_CONTENANTS_ANOMALIE;AP
3055;G4;0009764720230421000037;3055_G4_ANO_TX_CONTENANTS_ANOMALIE;AP
3055;G4;0237102220230421002538;3055_G4_ANO_TX_CONTENANTS_ANOMALIE;AP
3055;G3;0466859720230421000631;3055_G3_ANO_TX_CONTENANTS_ANOMALIE;AP
3055;K5;0237102220230424002545;3055_K5_ANO_TX_CONTENANTS_ANOMALIE;AP
3055;K5;0237102220230424002546;3055_K5_ANO_TX_CONTENANTS_ANOMALIE;AP
3055;G3;0466859720230424000638;3055_G3_ANO_TX_CONTENANTS_ANOMALIE;AP
